ell,resolution,observer,U_over_M,n_eff
0,2048,r/M=20,220.37741127759352,-2.85216238013314
0,2048,r/M=20,220.42741127759348,-2.852186418640637
0,2048,r/M=20,220.47741127759343,-2.852210446295718
0,2048,r/M=20,220.5274112775934,-2.852234463208096
0,2048,r/M=20,220.57741127759334,-2.8522584694059145
0,2048,r/M=20,220.6274112775933,-2.8522824648764176
0,2048,r/M=20,220.67741127759325,-2.8523064497038852
0,2048,r/M=20,220.7274112775932,-2.8523304239850544
0,2048,r/M=20,220.77741127759316,-2.8523543876848096
0,2048,r/M=20,220.82741127759311,-2.85237834084629
0,2048,r/M=20,220.87741127759307,-2.8524022835690075
0,2048,r/M=20,220.92741127759302,-2.852426215867627
0,2048,r/M=20,220.97741127759298,-2.8524501377849236
0,2048,r/M=20,221.02741127759293,-2.8524740493792495
0,2048,r/M=20,221.0774112775929,-2.852497950680567
0,2048,r/M=20,221.12741127759284,-2.85252184175641
0,2048,r/M=20,221.1774112775928,-2.852545722633345
0,2048,r/M=20,221.22741127759275,-2.852569593369234
0,2048,r/M=20,221.2774112775927,-2.852593454012394
0,2048,r/M=20,221.32741127759266,-2.8526173045418224
0,2048,r/M=20,221.3774112775926,-2.852641145121945
0,2048,r/M=20,221.42741127759257,-2.8526649757535414
0,2048,r/M=20,221.47741127759252,-2.852688796418345
0,2048,r/M=20,221.52741127759248,-2.852712607239569
0,2048,r/M=20,221.57741127759243,-2.8527364082427615
0,2048,r/M=20,221.6274112775924,-2.8527601994596266
0,2048,r/M=20,221.67741127759234,-2.8527839809847357
0,2048,r/M=20,221.7274112775923,-2.8528077527991482
0,2048,r/M=20,221.77741127759225,-2.852831514943623
0,2048,r/M=20,221.8274112775922,-2.8528552675533607
0,2048,r/M=20,221.87741127759216,-2.852879010624785
0,2048,r/M=20,221.9274112775921,-2.8529027441636137
0,2048,r/M=20,221.97741127759207,-2.8529264682605757
0,2048,r/M=20,222.02741127759202,-2.8529501829652997
0,2048,r/M=20,222.07741127759198,-2.852973888314673
0,2048,r/M=20,222.12741127759193,-2.85299758434545
0,2048,r/M=20,222.1774112775919,-2.853021271119515
0,2048,r/M=20,222.22741127759184,-2.8530449486765366
0,2048,r/M=20,222.2774112775918,-2.8530686170560564
0,2048,r/M=20,222.32741127759175,-2.8530922763038067
0,2048,r/M=20,222.3774112775917,-2.853115926427475
0,2048,r/M=20,222.42741127759166,-2.853139567548385
0,2048,r/M=20,222.4774112775916,-2.8531631996708273
0,2048,r/M=20,222.52741127759157,-2.8531868228273938
0,2048,r/M=20,222.57741127759152,-2.853210437088499
0,2048,r/M=20,222.62741127759148,-2.853234042470675
0,2048,r/M=20,222.67741127759143,-2.8532576389903057
0,2048,r/M=20,222.7274112775914,-2.853281226736426
0,2048,r/M=20,222.77741127759134,-2.8533048057568315
0,2048,r/M=20,222.8274112775913,-2.8533283760485344
0,2048,r/M=20,222.87741127759125,-2.85335193769073
0,2048,r/M=20,222.9274112775912,-2.853375490724508
0,2048,r/M=20,222.97741127759116,-2.853399035152808
0,2048,r/M=20,223.0274112775911,-2.853422570997427
0,2048,r/M=20,223.07741127759107,-2.853446098337082
0,2048,r/M=20,223.12741127759102,-2.853469617250399
0,2048,r/M=20,223.17741127759098,-2.8534931277049096
0,2048,r/M=20,223.22741127759093,-2.853516629721883
0,2048,r/M=20,223.2774112775909,-2.853540123395424
0,2048,r/M=20,223.32741127759084,-2.8535636087306977
0,2048,r/M=20,223.3774112775908,-2.85358708578033
0,2048,r/M=20,223.42741127759075,-2.8536105545714308
0,2048,r/M=20,223.4774112775907,-2.85363401507381
0,2048,r/M=20,223.52741127759066,-2.8536574674032096
0,2048,r/M=20,223.5774112775906,-2.8536809115958834
0,2048,r/M=20,223.62741127759057,-2.8537043475989754
0,2048,r/M=20,223.67741127759052,-2.8537277755247126
0,2048,r/M=20,223.72741127759048,-2.8537511953994184
0,2048,r/M=20,223.77741127759043,-2.8537746071602386
0,2048,r/M=20,223.8274112775904,-2.8537980108999608
0,2048,r/M=20,223.87741127759034,-2.8538214066731182
0,2048,r/M=20,223.9274112775903,-2.8538447944800365
0,2048,r/M=20,223.97741127759025,-2.8538681743463434
0,2048,r/M=20,224.0274112775902,-2.853891546287982
0,2048,r/M=20,224.07741127759016,-2.853914910301642
0,2048,r/M=20,224.1274112775901,-2.8539382664889597
0,2048,r/M=20,224.17741127759007,-2.8539616148686715
0,2048,r/M=20,224.22741127759002,-2.8539849553510335
0,2048,r/M=20,224.27741127758998,-2.8540082880691644
