r,u,du_dr
4.2013,0.9818272175616714,-0.18218468696637452
4.2046,0.9812208997516447,-0.18528155182550465
4.2079,0.9806043533326348,-0.18838385940899108
4.2112,0.979977560190237,-0.1914917027355377
4.2145,0.9793405019026831,-0.19460517506779865
4.2178,0.9786931597400316,-0.19772436991558087
4.2211,0.9780355146633465,-0.20084938103901318
4.2244,0.9773675473238653,-0.20398030245167087
4.2277000000000005,0.9766892380621596,-0.20711722842364874
4.231,0.9760005669072812,-0.21026025348459357
4.2343,0.9753015135759018,-0.21340947242668942
4.2376000000000005,0.9745920574714421,-0.21656498030758448
4.2409,0.9738721776831905,-0.21972687245327296
4.2442,0.9731418529854122,-0.22289524446092385
4.2475000000000005,0.9724010618364519,-0.22607019220164581
4.2508,0.9716497823778228,-0.22925181182320079
4.2541,0.9708879924332905,-0.23244019975265945
4.2574000000000005,0.9701156695079469,-0.2356354526989844
4.2607,0.9693327907872765,-0.23883766765555864
4.264,0.9685393331362114,-0.24204694190264592
4.2673000000000005,0.9677352730981836,-0.24526337300977505
4.2706,0.9669205868941644,-0.24848705883805938
4.2739,0.9660952504216995,-0.2517180975424433
4.277200000000001,0.9652592392539354,-0.2549565875738633
4.2805,0.9644125286386395,-0.25820262768133784
4.2838,0.963555093497212,-0.26145631691397475
4.287100000000001,0.9626869084236942,-0.2647177546228857
4.2904,0.9618079476837681,-0.2679870404630206
4.2937,0.9609181852137487,-0.27126427439491047
4.297000000000001,0.9600175946195773,-0.2745495566863088
4.3003,0.959106149175801,-0.2778429879137425
4.3036,0.958183821824553,-0.2811446689639619
4.306900000000001,0.9572505851745269,-0.2844547010352794
4.3102,0.9563064114999464,-0.2877731856388067
4.3135,0.9553512727395296,-0.2911002245995814
4.316800000000001,0.9543851404954535,-0.2944359200575693
4.3201,0.9534079860323129,-0.29778037446855593
4.3234,0.952419780276075,-0.30113369060491396
4.326700000000001,0.9514204938130355,-0.3044959715562353
4.33,0.950410096888771,-0.3078673207298391
4.3333,0.9493885594070878,-0.31124784185114257
4.336600000000001,0.9483558509289743,-0.3146376389638841
4.3399,0.947311940671549,-0.3180368164302069
4.3432,0.9462567975070094,-0.3214454789305934
4.346500000000001,0.9451903899615827,-0.3248637314636343
4.3498,0.9441126862144772,-0.328291679345646
4.3530999999999995,0.9430236540968328,-0.33172942821012
4.356400000000001,0.9419232610906761,-0.33517708400699786
4.3597,0.94081147432788,-0.3386347530017626
4.3629999999999995,0.9396882605891207,-0.3421025417743647
4.366300000000001,0.9385535863028424,-0.3455805572179417
4.3696,0.93740741754423,-0.3490689065373408
4.3729,0.936249720034178,-0.35256769724745746
4.376200000000001,0.9350804591382725,-0.3560770371713468
4.3795,0.9338995998657807,-0.3595970344381199
4.3828,0.9327071068686393,-0.36312779748063323
4.386100000000001,0.9315029444404586,-0.3666694350329314
4.3894,0.930287076515536,-0.3702220561274513
4.3927,0.9290594666678715,-0.37378577009199837
4.396000000000001,0.9278200781102003,-0.37736068654645083
4.3993,0.926568873693037,-0.3809469153992033
4.4026,0.9253058159037258,-0.3845445668433557
4.405900000000001,0.9240308668655092,-0.3881537513526063
4.4092,0.9227439883366118,-0.39177457967685575
4.4125,0.9214451417093321,-0.39540716283753113
4.415800000000001,0.9201342880091566,-0.3990516121225849
4.4191,0.9188113878938913,-0.4027080390811751
4.4224,0.9174764016528044,-0.40637655551803786
4.4257,0.9161292892057955,-0.4100572734875001
4.429,0.9147700101025821,-0.4137503052871507
4.4323,0.913398523521908,-0.4174557634511536
4.4356,0.9120147882707719,-0.4211737607431888
4.4389,0.9106187627836853,-0.4249044101490011
4.4422,0.9092104051219512,-0.42864782486856107
4.4455,0.9077896729729686,-0.432404118307816
4.4488,0.9063565236495708,-0.43617340407000993
4.4521,0.9049109140893873,-0.4399557959465769
4.4554,0.9034528008542368,-0.4437514079075828
4.4587,0.9019821401295574,-0.4475603540916946
4.462,0.9004988877238655,-0.45138274879567974
4.4653,0.8990029990682509,-0.4552187064634092
4.4686,0.8974944292159137,-0.4590683416743424
4.4719,0.8959731328417336,-0.46293176913149314
4.4752,0.8944390642418831,-0.466809103648852
4.4785,0.8928921773334849,-0.47070046013823924
4.4818,0.8913324256543088,-0.4746059535955869
4.4851,0.8897597623625191,-0.478525699086623
4.4884,0.8881741402364686,-0.48245981173193125
4.4917,0.8865755116745437,-0.48640840669138236
4.495,0.884963828695059,-0.49037159914790984
4.4983,0.8833390429362119,-0.49434950429059815
4.5016,0.8817011056560898,-0.4983422372970808
4.5049,0.8800499677327367,-0.5023499133152187
4.5082,0.878385579664285,-0.5063726474440233
4.5115,0.8767078915691479,-0.5104105547138217
4.5148,0.8750168531862796,-0.514463750065629
4.5181000000000004,0.8733124138755062,-0.5185323483296944
4.5214,0.8715945226179276,-0.5226164642032115
4.5247,0.869863128016393,-0.526716212227161
4.5280000000000005,0.8681181782960582,-0.5308317067622415
4.5313,0.8663596213050206,-0.5349630619638869
4.5346,0.8645874045150375,-0.5391103917563268
4.5379000000000005,0.8628014750223355,-0.5432738098056482
4.5412,0.8610017795485082,-0.5474534294918532
4.5445,0.8591882644415048,-0.5516493638798621
4.5478000000000005,0.857360875676723,-0.5558617256894273
4.5511,0.8555195588581984,-0.5600906272639348
4.5544,0.8536642592198957,-0.5643361805380558
4.5577000000000005,0.8517949216271181,-0.568598497004195
4.561,0.8499114905780213,-0.5728776876777238
4.5643,0.8480139102052445,-0.577173863060944
4.5676000000000005,0.8461021242776692,-0.5814871331057341
4.5709,0.844176076202297,-0.5858176071748594
4.5742,0.8422357090262571,-0.5901653940018867
4.577500000000001,0.8402809654389551,-0.5945306016496559
4.5808,0.8383117877743549,-0.5989133374672766
4.5841,0.8363281180134051,-0.6033137080455997
4.587400000000001,0.8343298977866205,-0.6077318191710981
4.5907,0.8323170683768133,-0.6121677757781312
4.594,0.8302895707219843,-0.6166216818995297
4.597300000000001,0.8282473454183852,-0.6210936406154369
4.6006,0.8261903327237476,-0.6255837540003727
4.6039,0.8241184725606904,-0.6300921230684513
4.607200000000001,0.8220317045203145,-0.6346188477166851
4.6105,0.8199299678659836,-0.6391640266663345
4.6138,0.8178132015373041,-0.6437277574022314
4.617100000000001,0.8156813441543094,-0.6483101361099969
4.6204,0.8135343340218532,-0.6529112576111149
4.6237,0.8113721091342193,-0.6575312152957754
