tau,u_rho_0.5,u_rho_0.75,u_rho_0.9,u_rho_0.95,u_rho_1
17.099999999999724,0.036177783852985604,0.004809158494779409,-0.019166817424189086,-0.02827406703324376,-0.03810456960058042
17.199999999999722,0.03376308943901607,0.002296969880694867,-0.021531905164178487,-0.030542952830218486,-0.040248192788263845
17.29999999999972,0.03133782449601602,-0.00018570227213250343,-0.02384011311844322,-0.03274492436635093,-0.04231420532932707
17.399999999999718,0.02890577038389622,-0.0026355539769105374,-0.026088655298404696,-0.034877430712075566,-0.04430033217790122
17.499999999999716,0.026470657155468695,-0.00504937477879638,-0.02827486973648212,-0.03693805617174534,-0.04620444544903011
17.599999999999714,0.02403615865459957,-0.0074240517009793346,-0.030396221401849863,-0.03892452274727501,-0.04802456636049769
17.69999999999971,0.021605887786236438,-0.009756572969782263,-0.03245030486319884,-0.04083469233759124,-0.04975886689886071
17.79999999999971,0.01918339196302814,-0.012044031515299789,-0.03443484669652305,-0.04266656867258402,-0.051405671209162514
17.899999999999707,0.016772148732851624,-0.014283628244604468,-0.03634770763652631,-0.04441829898084701,-0.05296345670841689
17.999999999999705,0.014375561591161557,-0.016472675085057165,-0.03818688447080469,-0.046088175391075736,-0.05443085492355104
18.099999999999703,0.011996955981681465,-0.018608597795757253,-0.039950511676515296,-0.04767463606756225,-0.05580665205508414
18.1999999999997,0.009639575488561198,-0.02068893854566134,-0.04163686279978478,-0.04917626608078547,-0.057089789268394336
18.2999999999997,0.00730657822273579,-0.022711358257383542,-0.04324435157864313,-0.050591798014643516,-0.05827936271498727
18.399999999999697,0.005001033404835755,-0.02467363871616622,-0.044771532810788765,-0.05192011231240549,-0.05937462328672486
18.499999999999694,0.0027259181466181143,-0.026573684443976592,-0.04621710296799692,-0.05316023736398086,-0.06037497610650243
18.599999999999692,0.00048411443251315036,-0.028409524339139215,-0.04757990055947485,-0.05431134933760339,-0.061279979759371064
18.69999999999969,-0.0017215936974869406,-0.030179313082359542,-0.04885890624694452,-0.055372771759513974,-0.06208934526859648
18.799999999999688,-0.003888522762733157,-0.031881332310425975,-0.050053242714694704,-0.056343974845693506,-0.06280293482161745
18.899999999999686,-0.006014092254109582,-0.03351399155929673,-0.051162174298286386,-0.05722457459014413,-0.06342076025131756
18.999999999999684,-0.00809582684334621,-0.035075828978685684,-0.05218510637602378,-0.0580143316146495,-0.06394298127845774
19.09999999999968,-0.010131358389633208,-0.03656551182065365,-0.05312158452771048,-0.0587131497853528,-0.06436990352152434
19.19999999999968,-0.012118427744046138,-0.03798183670509042,-0.053971293465600624,-0.05932107460188103,-0.0647019762806364
19.299999999999677,-0.014054886352615141,-0.0393237296653371,-0.05473405574282465,-0.05983829136511396,-0.06493979010251785
19.399999999999675,-0.01593869765918509,-0.04059024597754832,-0.05540983024492322,-0.06026512313004332,-0.06508407413388648
19.499999999999673,-0.017767938309518935,-0.04178056977772694,-0.05599871047045116,-0.06060202845049388,-0.06513569327092456
19.59999999999967,-0.019540799158391894,-0.04289401347068336,-0.05650092260692857,-0.06084959892278395,-0.0650956451127951
19.69999999999967,-0.021255586081710555,-0.043930016935473826,-0.056916823408705186,-0.061008556535684676,-0.06496505672743659
19.799999999999667,-0.02291072059596662,-0.044888146532159445,-0.057246897883577494,-0.06107975083429941,-0.06474518123811764
19.899999999999665,-0.0245047402876017,-0.045768093914998205,-0.057491756795248,-0.06106415590572332,-0.0644373942394563
19.999999999999662,-0.02603629905511487,-0.04656967465743692,-0.05765213398894759,-0.06096286719456033,-0.06404319005180951
20.09999999999966,-0.027504167166990612,-0.04729282669450891,-0.05772888354775189,-0.0607770981565707,-0.06356417782311449
20.19999999999966,-0.02890723113875955,-0.04793760858846438,-0.057722976787312585,-0.060508176758894694,-0.0630020774874169
20.299999999999656,-0.030244493432728465,-0.048504197623667616,-0.05763549909689539,-0.06015754183545148,-0.062358715589451955
