ell,observer,U_over_M,n_eff,positive_power
0,r/M=50,273.2274112775817,-2.66833060320368,2.66833060320368
0,r/M=50,275.2274112775799,-2.6698457969566642,2.6698457969566642
0,r/M=50,277.2274112775781,-2.671357047928887,2.671357047928887
0,r/M=50,279.22741127757627,-2.6728583285952547,2.6728583285952547
0,r/M=50,281.22741127757445,-2.674341519814121,2.674341519814121
0,r/M=50,283.2274112775726,-2.6757990408106846,2.6757990408106846
0,r/M=50,285.2274112775708,-2.6772266087851486,2.6772266087851486
0,r/M=50,287.227411277569,-2.6786250279752783,2.6786250279752783
0,r/M=50,289.22741127756717,-2.6800002823955227,2.6800002823955227
0,r/M=50,291.22741127756535,-2.681361884521573,2.681361884521573
0,r/M=50,293.22741127756353,-2.6827200880391624,2.6827200880391624
0,r/M=50,295.2274112775617,-2.6840829348789716,2.6840829348789716
0,r/M=50,297.2274112775599,-2.6854540856345905,2.6854540856345905
0,r/M=50,299.2274112775581,-2.6868320549325126,2.6868320549325126
0,r/M=50,301.22741127755626,-2.688210987658262,2.688210987658262
0,r/M=50,303.22741127755444,-2.689582620382853,2.689582620382853
0,r/M=50,305.2274112775526,-2.690938717729594,2.690938717729594
0,r/M=50,307.2274112775508,-2.692273174922476,2.692273174922476
0,r/M=50,309.227411277549,-2.693583177810653,2.693583177810653
0,r/M=50,311.22741127754716,-2.6948692248012454,2.6948692248012454
0,r/M=50,313.22741127754534,-2.696134249532525,2.696134249532525
0,r/M=50,315.2274112775435,-2.6973823453110177,2.6973823453110177
0,r/M=50,317.2274112775417,-2.69861760019564,2.69861760019564
0,r/M=50,319.2274112775399,-2.699843366313952,2.699843366313952
0,r/M=50,321.22741127753807,-2.701062045582544,2.701062045582544
0,r/M=50,323.22741127753625,-2.702275287625078,2.702275287625078
0,r/M=50,325.22741127753443,-2.7034843975704597,2.7034843975704597
0,r/M=50,327.2274112775326,-2.704690720639892,2.704690720639892
0,r/M=50,329.2274112775308,-2.7058957881155994,2.7058957881155994
